Hezekiah,Clarice
Justus,Corda
Lindsey,Corrie
Marcellus,Dell
Olaf,Dellar
Olin,Donie
Pablo,Doris
Rolland,Elda
Turner,Elinor
Verne,Emeline
Volney,Emilia
Williams,Esta
Almon,Estell
Alois,Etha
Alonza,Fred
Anson,Hope
Authur,Indiana
Benton,Ione
Billie,Jettie
Cornelious,Johnnie
Darius,Josiephine
Denis,Kitty
Dillard,Lavina
Doctor,Leda
Elvin,Letta
Emma,Mahala
Eric,Marcia
Evans,Margarette
Gideon,Maudie
Haywood,Maye
Hilliard,Norah
Hosea,Oda
Lincoln,Patty
Lonzo,Paula
Lucious,Permelia
Lum,Rosalia
Malachi,Roxanna
Newt,Sula
Noel,Vada
Orie,Winnifred
Palmer,Adline
Pinkney,Almira
Shirley,Alvena
Sumner,Arizona
Terry,Becky
Urban,Bennie
Uriah,Bernadette
Valentine,Camille
Waldo,Cordia
Warner,Corine
Wong,Dicie
Zeb,Dove
Abel,Drusilla
Alden,Elena
Archer,Elenora
Avery,Elmina
Carson,Ethyl
Cullen,Evalyn
Doc,Evelina
Eben,Faye
Elige,Huldah
Elizabeth,Idell
Elmore,Inga
Ernst,Irena
Finis,Jewell
Freddie,Kattie
Godfrey,Lavenia
Guss,Leslie
Hamp,Lovina
Hermann,Lulie
Isadore,Magnolia
Isreal,Margeret
Jones,Margery
June,Media
Lacy,Millicent
Lafe,Nena
Leland,Ocie
Llewellyn,Orilla
Ludwig,Osie
Manford,Pansy
Maxwell,Ray
Minnie,Rosia
Obie,Rowena
Octave,Shirley
Orrin,Tabitha
Ossie,Thomas
Oswald,Verdie
Park,Walter
Parley,Zetta
Ramon,Zoa
Rice,Zona
Stonewall,Albertina
Theo,Albina
Tillman,Alyce
Addie,Amie
Aron,Angela
Ashley,Annis
Bernhard,Carol
Bertie,Carra
Berton,Clarence
Buster,Clarinda
Butler,Delphia
Carleton,Dillie
Carrie,Doshie
Clara,Drucilla
Clarance,Etna
Clare,Eugenie
Crawford,Eulalia
Danial,Eve
Dayton,Felicia
Dolphus,Florance
Elder,Fronie
Ephriam,Geraldine
Fayette,Gina
Felipe,Glenna
Fernando,Grayce
Flem,Hedwig
Florence,Jessica
Ford,Jossie
Harlan,Katheryn
Hayes,Katy
Henery,Lea
Hoy,Leanna
Huston,Leitha
Ida,Leone
Ivory,Lidie
Jonah,Loma
Justin,Lular
Lenard,Magdalen
Leopold,Maymie
Lionel,Minervia
Manley,Muriel
Marquis,Neppie
Marshal,Olie
Mart,Onie
